DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTIUNKWN,PARTIPRE20,PARTI192029,PARTI193039,PARTI194049,PARTI195059,PARTI196069,PARTI197079,PARTI198089,PARTI199099,PARTI200009,PARTI201019,PARTI202029,PARTITOTAL
2/2/2026,2019.0,20200263.0,17488.0,117.0,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,,,,,,,,,,,,12.91,,12.91
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,,,,,,4.8,,11.19,0.38,12.59,2.4,21.59,,52.95
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,,,,,,,,,,,,282.18,,282.18
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0,10.53,,16.96
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,,,,,,56.18,1.51,,0.09,0.66,0.11,,,58.55
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,,,,,,,9.35,,9.27,10.72,4.39,51.0,,84.73
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,,,,13.51,0.36,14.64,,11.6,,0.42,85.35,27.87,,153.75
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,,,,,69.35,45.21,169.67,46.33,2.19,40.13,96.49,23.71,,493.08
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,,,,,,,,6.21,,69.49,4.89,47.42,,128.01
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,,,,0.24,11.68,80.56,,,,,5.61,176.84,,274.93
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,,,,,,,11.47,,,,6.11,54.75,,72.33
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,,,0.68,22.66,201.88,10.11,214.88,6.17,36.04,2.72,116.71,577.36,,1189.21
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,,,,,,,,,,,,6.57,,6.57
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,,,,43.14,390.65,96.69,76.16,4.11,0.8,10.49,31.1,1265.34,,1918.48
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,0.03,,,,232.77,17.48,53.16,0.05,6.28,125.52,96.45,19.82,,551.56
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,,,,,,6.38,,12.85,,,4.81,0.17,,24.21
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,3.94,3.57,20.81,1.39,21.05,187.01,52.22,9.97,145.47,167.66,18.19,8.21,,639.49
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,,,,,,,,,,,,2.39,,2.39
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,,,,,,15.67,,,,,,0.19,,15.86
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,,,,,39.16,,36.83,,,,3.42,17.14,,96.55
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,,,,,6.21,,13.66,6.16,6.25,21.26,0.29,0.01,,53.84
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MONTANA,,,,,,,,,,,4.07,,,4.07
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0.0,0.0,0.0,0.0,31.33,9.08,0.0,0.0,0.0,16.78,0.0,30.7,,87.89
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,,,6.48,11.83,102.52,133.12,26.49,89.88,17.28,13.72,114.58,165.34,,681.24
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,0.01,,407.63,55.08,292.27,293.23,76.49,162.65,10.06,36.91,53.24,1537.59,,2925.16
2/2/2026,2019.0,20200337.0,18153.0,300.0,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,MICHIGAN,0.0,0.0,0.0,0.0,0.0,0.26,0.0,72.28,0.0,0.01,0.0,0.01,,72.56
2/2/2026,2019.0,20200337.0,18153.0,300.0,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,CALIFORNIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.04,,43.04
2/2/2026,2019.0,20200337.0,18153.0,300.0,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,,9.15
2/2/2026,2019.0,20200338.0,17568.0,300.0,"PLAINS PIPELINE, L.P.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.72
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,0.0,0.0,12.1,19.2,178.7,37.8,4.7,0.8,15.8,2.5,0.9,0.2,,272.7
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,0.0,0.0,9.8,5.6,150.8,78.3,1.9,1.8,3.8,2.1,3.1,0.7,,257.9
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,0.0,,0.0,0.0,120.9,0.1,0.0,0.0,0.0,0.1,0.1,0.2,,121.4
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0.0,,0.0,0.0,0.0,160.8,0.1,0.5,0.2,0.1,0.1,0.6,,162.4
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MINNESOTA,0.0,,0.0,0.0,123.3,0.5,0.3,0.2,0.1,0.9,0.9,0.0,,126.2
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0.0,,0.0,0.0,154.7,0.0,1.0,0.3,0.4,54.9,0.3,0.0,,211.6
2/2/2026,2019.0,20200560.0,18002.0,473.0,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,COLORADO,,,,,,,,,0.66,0.95,,141.12,,142.73
2/2/2026,2019.0,20200560.0,18002.0,473.0,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,TEXAS,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,317.72,,317.72
2/2/2026,2019.0,20200560.0,18002.0,473.0,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,WYOMING,,,,,,,29.6,2.0,,,,,,31.6
2/2/2026,2019.0,20200561.0,21582.0,473.0,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,COLORADO,,,,,,,,3.57,,4.2,,64.93,,72.7
2/2/2026,2019.0,20200561.0,21582.0,473.0,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,TEXAS,,,,,,,,,,,,51.72,,51.72
2/2/2026,2019.0,20200561.0,21582.0,473.0,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,UTAH,,,,,,,,,,,16.5,14.8,,31.3
2/2/2026,2019.0,20200561.0,21582.0,473.0,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,WYOMING,,,,,,,,87.6,2.0,33.0,,,,122.6
2/2/2026,2019.0,20200232.0,17456.0,515.0,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,NORTH DAKOTA,,,,,,,,,,164.55,2.22,0.27,,167.04
