DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
2/2/2026,2020.0,20210071.0,18129.0,117.0,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,,CO2,,TEXAS,,11.72,11.72,,,,,,5733057.0,,,,,0.0,12.91,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.91,0.0,12.91,0.0,0.0,0.0,12.91,12.91,0.0,INITIAL,3/24/2021,3/24/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210605.0,18847.0,300.0,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1900",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, ARKANSAS, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEBRASKA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TENNESSEE, TEXAS, WYOMING","ALABAMA, ARKANSAS, CALIFORNIA, COLORADO, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, WYOMING",,3113.23,3113.23,,,,,,0.0,341465300849.0,0.0,0.0,0.0,172.36,8177.56,0.0,0.0,0.0,1226.98,9576.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.36,8177.56,0.0,0.0,0.0,1226.98,9576.9,36.1,0.0,36.1,0.24,56.42,56.66,5.82,612.19,618.01,0.12,332.07,332.19,0.26,640.85,641.11,286.35,5.24,291.59,82.61,0.17,82.78,477.4,3.07,480.47,381.06,0.0,381.06,4313.64,0.01,4313.65,32.02,0.0,32.02,7265.64,5615.62,1650.02,SUPPLEMENTAL,6/15/2021,7/29/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210607.0,18715.0,300.0,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1900",HOUSTON,TX,77002,,HVL,MICHIGAN,"CALIFORNIA, TEXAS",,52.03,52.03,,,,,,,,,40501906.0,,0.0,117.53,0.0,0.0,0.0,7.24,124.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.53,0.0,0.0,0.0,7.24,124.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,48.06,0.0,48.06,0.0,0.0,0.0,48.07,48.07,0.0,INITIAL,6/15/2021,6/15/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210299.0,18396.0,395.0,AMOCO OIL CO,30 S. WACKER DRIVE,CHICAGO,IL,60606,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,684.5,684.5,,,,,,,,,,13811308603.0,0.0,1152.2,0.0,0.0,0.0,0.0,1152.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.2,0.0,0.0,0.0,0.0,1152.2,0.0,0.0,0.0,0.0,0.6,0.6,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.9,1.5,18.9,0.0,18.9,58.1,0.0,58.1,5.0,0.0,5.0,1.4,0.0,1.4,0.0,0.0,0.0,101.4,84.0,17.4,INITIAL,6/10/2021,6/10/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210428.0,18530.0,473.0,"WESTERN MIDSTREAM PARTNERS, LP",9950 WOODLOCH FOREST DR SUITE 2800,THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,72.45,72.45,,,,,,,6409322318.0,,,,0.0,463.46,0.0,0.0,0.0,0.0,463.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.46,0.0,0.0,0.0,0.0,463.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,26.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.3,0.0,434.3,0.66,0.0,0.66,463.46,434.96,28.5,INITIAL,6/14/2021,6/14/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210429.0,18531.0,473.0,"WESTERN MIDSTREAM PARTNERS, LP",9950 WOODLOCH FOREST DR SUITE 2800,THE WOODLANDS,TX,77380,,HVL,,"COLORADO, TEXAS, UTAH, WYOMING",,33.3,33.3,,,,,,,,,207989196.0,,0.0,164.2,0.0,0.0,0.0,0.0,164.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.2,0.0,0.0,0.0,0.0,164.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,3.57,2.0,0.0,2.0,6.18,0.0,6.18,16.5,0.0,16.5,134.92,0.0,134.92,1.03,0.0,1.03,164.2,164.2,0.0,INITIAL,6/14/2021,6/14/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210297.0,18394.0,515.0,DAKOTA GASIFICATION COMPANY,DAKOTA GASIFICATION COMPANY 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,1785222709.0,,,,,0.0,167.04,0.0,0.0,0.0,0.0,167.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.04,0.0,0.0,0.0,0.0,167.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.55,0.0,164.55,2.22,0.0,2.22,0.27,0.0,0.27,0.0,0.0,0.0,167.04,167.04,0.0,INITIAL,6/10/2021,6/10/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210336.0,18433.0,879.0,CHEMOIL TERMINALS LLC,2365 E SEPULVEDA BLVD,LONG BEACH,CA,90810,,Crude Oil,,CALIFORNIA,,3.87,3.87,,,,,,,4144580.0,,,735683.0,0.0,3.87,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INITIAL,6/11/2021,6/11/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210335.0,18432.0,879.0,CHEMOIL TERMINALS LLC,2365 E SEPULVEDA BLVD,LONG BEACH,CA,90810,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,8.2,8.2,,,,,,,3298529.0,,,25226846.0,0.0,8.2,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INITIAL,6/11/2021,6/11/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2020.0,20210375.0,18472.0,994.0,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",ONE WILLIAMS CENTER P.O. BOX 645,TULSA,OK,74172,,Crude Oil,OCS-Gulf of Mexico,,0.0,,0.0,,564507.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,23.2,0.0,23.2,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.43,0.0,17.43,0.0,0.0,0.0,17.43,17.43,0.0,INITIAL,6/13/2021,6/13/2021,7000-1.1 (Rev. 01-2020)
